0.048,0.042,0.078,0.036
0.041,0.048,0.037,0.03
0.024,0.041,0.05,0.022
0.027,0.035,0.041,0.022
0.019,0.033,0.044,0.024
0.02,0.033,0.059,0.046
0.019,0.023,0.069,0.041
0.02,0.03,0.041,0.022
0.019,0.031,0.041,0.022
0.022,0.031,0.032,0.029
0.037,0.041,0.04,0.022
0.026,0.041,0.046,0.026
0.027,0.023,0.038,0.027
0.027,0.042,0.031,0.031
0.072,0.052,0.035,0.018
0.034,0.049,0.089,0.051
0.04,0.042,0.035,0.03
0.02,0.023,0.045,0.033
0.027,0.023,0.049,0.021
0.027,0.047,0.043,0.029
0.034,0.04,0.044,0.033
0.021,0.032,0.027,0.02
0.02,0.031,0.03,0.025
0.03,0.026,0.034,0.018
0.02,0.025,0.049,0.031
0.032,0.028,0.056,0.031
0.027,0.032,0.044,0.026
0.022,0.025,0.041,0.023
0.027,0.037,0.047,0.029
0.036,0.042,0.061,0.045
0.02,0.026,0.042,0.023
0.029,0.026,0.043,0.026
0.022,0.035,0.044,0.029
0.02,0.023,0.034,0.03
0.02,0.03,0.044,0.023
0.029,0.029,0.039,0.03
0.025,0.037,0.059,0.045
0.028,0.025,0.047,0.03
0.034,0.035,0.051,0.031
0.029,0.029,0.043,0.023
0.019,0.023,0.04,0.022
0.02,0.024,0.04,0.022
0.026,0.023,0.04,0.022
0.031,0.026,0.042,0.024
0.03,0.03,0.052,0.039
0.026,0.036,0.045,0.029
0.087,0.024,0.041,0.023
0.022,0.036,0.043,0.023
0.032,0.034,0.042,0.022
0.028,0.024,0.032,0.029
