0.07,5.044,0.072,4.841
0.069,6.875,0.074,4.988
0.064,5.414,0.062,4.992
0.094,6.242,0.065,4.801
0.067,4.806,0.111,5.125
0.086,4.958,0.055,5.225
0.058,4.586,0.046,4.821
0.04,4.538,0.143,5.447
0.077,5.114,0.086,5.777
0.049,4.981,0.077,5.946
0.065,4.731,0.058,5.284
0.048,4.92,0.051,5.815
0.065,4.819,0.152,5.433
0.042,4.507,0.071,5.827
0.043,4.755,0.05,5.552
0.035,4.589,0.041,5.236
0.039,4.669,0.05,5.247
0.043,4.574,0.049,5.308
0.032,4.493,0.05,5.039
0.039,4.474,0.045,5.247
0.04,4.771,0.035,5.23
0.04,4.49,0.059,5.107
0.031,4.547,0.036,4.863
0.031,4.625,0.033,5.094
0.031,4.571,0.035,4.873
0.039,4.441,0.033,4.976
0.04,4.622,0.033,4.998
0.041,4.485,0.033,4.88
0.032,4.657,0.033,4.853
0.043,4.61,0.044,5.175
0.037,4.411,0.033,4.83
0.033,4.417,0.034,4.919
0.049,4.745,0.044,5.073
0.038,4.477,0.04,5.056
0.035,4.526,0.043,4.689
0.033,4.619,0.042,4.899
0.034,4.88,0.043,5.4
0.033,4.832,0.067,5.403
0.034,5.126,0.072,5.027
0.062,5.019,0.069,5.086
0.068,5.319,0.064,4.927
0.069,5.214,0.09,6.426
0.085,5.408,0.076,6.283
0.067,5.019,0.068,4.896
0.074,5.887,0.067,4.995
0.075,5.306,0.047,4.752
0.06,5.293,0.049,4.651
0.054,5.332,0.055,4.812
0.051,5.168,0.042,4.58
0.038,4.919,0.032,4.731
